#OTU ID	ERR8056034	ERR8056035	ERR8056037	ERR8056042	ERR8056045	ERR8056051	ERR8056057	ERR8056066	ERR8056069	ERR8056078
Zotu2082	1	43	3	3	2	4	0	0	0	0
Zotu822	6	38	14	6	5	63	1	0	0	0
Zotu1121	2	20	9	0	0	17	1	0	0	0
Zotu1562	2	29	2	1	0	5	0	0	0	3
Zotu548	3	21	4	25	30	5	4	0	0	0
Zotu803	1	0	0	66	8	0	19	0	9	0
Zotu3379	3	5	0	7	4	11	0	0	0	0
Zotu1542	2	0	32	0	0	0	0	0	0	0
Zotu1567	3	32	2	9	2	2	0	0	0	0
Zotu3374	1	7	7	5	9	12	2	10	3	6
Zotu4212	6	1	3	1	0	0	0	0	0	0
Zotu3409	1	15	0	5	3	10	2	0	0	0
Zotu2434	1	0	2	0	14	0	8	0	0	0
Zotu778	1	2	1	1	43	3	12	3	9	1
Zotu2447	2	10	1	0	0	17	0	1	0	0
Zotu1365	1	20	8	7	0	2	0	0	0	0
Zotu2096	1	0	0	2	0	0	12	36	0	2
Zotu999	1	0	0	2	2	5	26	9	1	21
Zotu3347	2	12	0	3	0	3	0	0	0	0
Zotu660	4	56	0	12	2	16	0	0	0	0
Zotu3026	3	4	2	0	4	1	0	0	0	0
Zotu3506	1	3	0	0	0	9	0	0	0	0
Zotu1423	2	7	6	3	9	9	0	0	10	2
Zotu178	1	18	14	24	59	34	60	17	63	60
Zotu4586	1	0	0	0	4	9	1	0	0	12
Zotu2769	1	1	0	1	0	14	0	0	0	0
